372 384 278 280 388 368 282 284 276 390 286 394 386
07:39 07:02 09:48 11:38 08:05 13:45 16:42 17:51 19:15 15:03 17:51 20:30 21:08
07:34 06:56 ----- ----- 08:02 13:42 ----- 17:47 ----- ----- 17:47 20:27 21:05
07:28 06:50 09:39 11:29 07:56 13:37 16:33 17:41 19:06 14:56 17:41 20:21 20:59
07:19 06:43 09:32 11:22 07:50 13:30 16:26 17:27 18:59 14:50 17:27 20:14 20:52
07:14 06:38 09:26 ----- ----- ----- ----- 17:21 ----- ----- 17:21 ----- -----
07:10 06:34 09:20 11:15 07:42 13:23 16:18 17:15 18:51 14:42 17:15 20:07 20:45
07:04 06:28 09:14 11:10 07:37 13:18 16:12 17:09 18:45 14:37 17:09 20:02 20:40
07:01 06:26 09:11 11:07 07:35 13:16 16:09 17:06 18:42 14:35 17:06 19:59 20:38






